Date,Apoquel,Bath,Notes
"October 31, 2025","Yes","No",""
"November 3, 2025","Yes","No",""
"November 4, 2025","Yes","No",""
"November 5, 2025","Yes","No",""
"November 6, 2025","Yes","No",""
"November 7, 2025","Yes","No",""
"November 13, 2025","Yes","No",""
"November 20, 2025","Yes","No",""
"November 21, 2025","Yes","Yes",""
"November 22, 2025","Yes","No",""
"November 23, 2025","Yes","No",""
"November 24, 2025","Yes","No",""
"November 25, 2025","No","No",""
"November 26, 2025","Yes","No",""
"November 27, 2025","Yes","No","Massive diarrhea today"
"November 28, 2025","No","No",""
"November 29, 2025","Yes","No",""
"November 30, 2025","Yes","No","Trimmed his nails"
"December 1, 2025","No","No",""
"December 2, 2025","Yes","No",""
"December 3, 2025","Yes","No",""
"December 4, 2025","No","No",""
"December 5, 2025","Yes","No",""
"December 6, 2025","Yes","Yes",""
"December 8, 2025","Yes","No",""
"December 9, 2025","Yes","No",""
"December 11, 2025","Yes","No",""
"December 12, 2025","Yes","No",""
"December 14, 2025","Yes","No",""
"December 15, 2025","Yes","No",""
"December 17, 2025","Yes","No",""
"December 18, 2025","Yes","No",""
"December 20, 2025","Yes","No",""
"December 21, 2025","Yes","Yes",""
"December 23, 2025","Yes","No",""
"December 24, 2025","Yes","No",""
"December 27, 2025","Yes","No",""
"December 29, 2025","Yes","No",""
"December 30, 2025","Yes","No",""
"January 1, 2026","Yes","No",""
"January 3, 2026","Yes","Yes",""
"January 5, 2026","Yes","No",""
"January 6, 2026","Yes","No",""
"January 8, 2026","Yes","No",""
"January 10, 2026","Yes","No",""
"January 11, 2026","No","No",""
"January 12, 2026","Yes","No",""
"January 13, 2026","No","No",""
"January 14, 2026","Yes","No","B outfit"
"January 16, 2026","Yes","No",""
"January 17, 2026","No","Yes",""
"January 18, 2026","Yes","No",""
"January 20, 2026","Yes","No",""
"January 22, 2026","Yes","No",""
"January 24, 2026","Yes","No",""
"January 26, 2026","Yes","No",""
"January 28, 2026","Yes","No",""
"January 30, 2026","Yes","No",""
"January 31, 2026","No","Yes",""
"February 1, 2026","Yes","No",""
"February 3, 2026","Yes","No",""
"February 5, 2026","Yes","No",""
"February 7, 2026","Yes","No",""
"February 9, 2026","Yes","No",""
"February 11, 2026","Yes","No",""
"February 13, 2026","Yes","No",""
"February 14, 2026","No","Yes",""
"February 15, 2026","Yes","No",""
"February 17, 2026","Yes","No",""
"February 19, 2026","Yes","No",""
"February 21, 2026","Yes","No",""
"February 23, 2026","Yes","No",""
"February 25, 2026","Yes","No",""
"February 27, 2026","Yes","No",""
"February 28, 2026","No","Yes",""
"March 1, 2026","Yes","No",""
"March 2, 2026","Yes","No",""
"March 5, 2026","Yes","No",""
"March 7, 2026","Yes","Yes",""
"March 9, 2026","Yes","No",""
"March 12, 2026","Yes","No",""
"March 14, 2026","Yes","No",""
"March 16, 2026","Yes","No",""
"March 17, 2026","Yes","No","Spray"
"March 18, 2026","Yes","No","Spray"
"March 19, 2026","Yes","No",""
"March 20, 2026","Yes","No",""
"March 21, 2026","Yes","No",""
"March 23, 2026","Yes","No",""
"March 25, 2026","Yes","No",""
"March 27, 2026","Yes","No",""
"March 29, 2026","Yes","No",""
"March 31, 2026","Yes","No",""
"April 2, 2026","Yes","No",""
"April 3, 2026","No","No",""
"April 4, 2026","Yes","No",""
"April 6, 2026","Yes","No",""
"April 7, 2026","No","Yes",""
"April 8, 2026","Yes","No",""
"April 10, 2026","Yes","No",""
"April 12, 2026","Yes","No",""
"April 14, 2026","Yes","No",""
"April 16, 2026","Yes","No",""
"April 18, 2026","Yes","No",""
"April 20, 2026","Yes","No",""
"April 21, 2026","No","Yes",""
"April 22, 2026","Yes","No",""
"April 24, 2026","Yes","No",""
"April 26, 2026","Yes","No",""
"April 28, 2026","Yes","No",""
"April 30, 2026","Yes","No",""
"May 2, 2026","Yes","No",""
"May 4, 2026","Yes","No",""
"May 6, 2026","Yes","No",""
"May 8, 2026","Yes","Yes",""
"May 10, 2026","Yes","No",""
"May 12, 2026","Yes","No",""
"May 14, 2026","Yes","No",""
"May 16, 2026","Yes","No",""
"May 18, 2026","Yes","No",""
"May 20, 2026","Yes","No",""
"May 22, 2026","Yes","No","Double"
"May 23, 2026","Yes","No","Double"
"May 24, 2026","Yes","No","Double"
"May 25, 2026","Yes","No","double"
"May 26, 2026","Yes","No","double"
"May 27, 2026","Yes","Yes","double"
